#1	
# type       =	M270-50A
# vRef[W/kg] =	2.70
# Bref[T]    =	1.5
# fRef[Hz]   =	50
# dens[kg/m3]=	7600
# table J [T] vs. H [A/m]	
# N          =	33
double JH(33,2)	
0	0
0.023570577	10.01982993
0.062340678	20.01920659
0.127788136	30.03903653
0.227738832	40.01114216
0.357149832	49.9196154
0.507143952	59.97921558
0.62862539	69.97859224
0.733808342	79.94956159
0.818037233	89.9716641
0.901023798	101.993642
1.020443495	125.1853781
1.106852295	150.1497309
1.166394402	175.4436087
1.207296898	199.9420815
1.261999142	250.0525941
1.319269335	348.750987
1.363469821	500.0142848
1.403639293	747.3397762
1.430867572	1000.505813
1.451897222	1249.581195
1.469832826	1500.020129
1.499677667	1998.73904
1.52526719	2505.980147
1.619882504	5003.324468
1.689546199	7501.236936
1.745291351	10001.64925
1.82820321	14980.88431
1.877589842	19444.24244
1.907500814	23698.52269
1.923446964	27696.00077
1.930562005	30591.27483
1.933450963	32129.81528
