#1	
# type       =	M400-50A
# vRef[W/kg] =	4.00
# Bref[T]    =	1.5
# fRef[Hz]   =	50
# dens[kg/m3]=	7700
# table J [T] vs. H [A/m]	
# N          =	33
double JH(33,2)	
0	0
0.011735983	10.01073959
0.02871564	20.01920659
0.05212217	29.9958574
0.083788911	40.04295836
0.137132	50.015064
0.250064914	60.00080514
0.39690255	70.04108835
0.534343489	79.94956159
0.688371597	90.15347095
0.819115245	100.0164925
1.03211935	125.03766
1.150887842	150.7519661
1.219260725	174.9890916
1.266359646	200.1466142
1.322614194	249.4162702
1.380065148	349.7963763
1.422831725	500.1960917
1.462371194	749.7259911
1.488222339	1000.164925
1.508159845	1250.831117
1.524637295	1501.270051
1.551793124	1999.420815
1.574428434	2498.480614
1.658937369	4994.234126
1.722450155	7499.532497
1.773863664	9982.33227
1.855208661	15038.83524
1.909179501	19660.13807
1.945417657	24012.1395
1.968533009	28095.97584
1.981224359	31507.12683
1.984294964	32584.33241
