#1	
# type       =	M530-50A
# vRef[W/kg] =	5.30
# Bref[T]    =	1.5
# fRef[Hz]   =	50
# dens[kg/m3]=	7700
# table J [T] vs. H [A/m]	
# N          =	33
double JH(33,2)	
0	0
0.002294404	10.00164925
0.005858229	20.03284211
0.00981716	30.03221877
0.016548593	40.03386802
0.033089899	50.01960917
0.06402522	59.92808241
0.128195192	69.87632589
0.255356787	80.01773915
0.405359787	89.93757532
0.572945753	100.0051296
0.90788204	124.8104014
1.113644645	149.9679241
1.205707246	175.1027209
1.26026651	199.714823
1.327246558	250.4843854
1.393766307	351.5689931
1.44059813	499.514316
1.482508604	749.271474
1.508873022	1000.278554
1.528519933	1247.990385
1.544789654	1499.565611
1.571371341	2005.784055
1.592870047	2500.071424
1.674230435	4996.961228
1.736214215	7500.100643
1.78775257	10006.19442
1.869609134	14995.65611
1.927262843	19703.3172
1.967505341	24121.22361
1.996575628	28575.4914
2.014168114	32579.78723
2.018726321	33875.16103
