#1	
# type       =	M800-50A
# vRef[W/kg] =	8.00
# Bref[T]    =	1.5
# fRef[Hz]   =	50
# dens[kg/m3]=	7800
# table J [T] vs. H [A/m]	
# N          =	33
double JH(33,2)	
0	0
0.004955084	10.05846389
0.011420738	20.02829694
0.019065569	29.9958574
0.027770395	40.01568733
0.037834871	49.99688331
0.049459899	60.01330437
0.062657745	70.04676981
0.079805401	80.04046501
0.099926649	90.01711582
0.129733298	100.1073959
0.373528675	125.4239995
0.743191549	149.8429319
0.998903036	174.1255091
1.142956429	199.8284523
1.281543787	249.6435287
1.394804562	349.7054729
1.465053437	499.8779297
1.519085494	749.1578447
1.550211907	1000.278554
1.572331232	1250.149341
1.589831498	1498.088431
1.6176219	1998.511781
1.640002897	2500.298683
1.72097061	4993.325091
1.780685104	7471.693323
1.830230606	9978.923392
1.907589203	14925.20596
1.964100075	19789.67545
2.002484095	24212.12704
2.02932469	28468.67987
2.045396875	32059.36513
2.053097187	34411.49123
