#1
# M470-50A
# vRef = 4.70
# Bref = 1.5
# fRef = 50
# dens = 7700
double JH(33, 2)
0.000000000	0.000000000
0.008643225	9.969833049
0.020590387	20.01466142
0.036979409	29.97540413
0.059221384	39.99296148
0.088551731	50.03778985
0.144387617	59.99625997
0.249708403	70.21721373
0.391891279	79.98933183
0.536168218	89.53987284
0.696990701	100.0051296
0.994164370	125.0149341
1.139815390	150.0133758
1.217215253	174.9209140
1.266799276	199.8511781
1.327360885	250.0071424
1.389213258	349.9781832
1.435178288	499.5597677
1.476837989	750.0668789
1.503466834	1000.164925
1.523627742	1250.376600
1.540150879	1498.997465
1.566959739	1995.102903
1.589541552	2501.434975
1.672478484	5004.233502
1.734289411	7480.215519
1.786248452	10009.60330
1.867276709	14994.51982
1.921896577	19510.14742
1.969954647	25125.70645
1.988938198	28348.23284
2.004305466	31977.55205
2.008599501	33277.47101
